No.,Respiration_data_type,Study_number_in_SRDB,Authors,Title,Source,Volume,Issue,BP,EP,PubYear,Notes,Citations,DE,DLD,DOI,nonEnglish,Rank,SearchDate,SearchTerm,TF,UT,SN,Copy,DLD_count,DE_count,
1,"Rs,Ra,Rh",805,"PULLIAM, WM",CARBON-DIOXIDE AND METHANE EXPORTS FROM A SOUTHEASTERN FLOODPLAIN SWAMP,ECOLOGICAL MONOGRAPHS,63,1,29,53,1993,,48,Y,Y,,N,1,9/26/2008,Topic=(soil respiration); B-L2004,,WOS:A1993MN18500002,0012-9615,,374,361,
2,Rs,815,"TATE, CM; STRIEGL, RG",METHANE CONSUMPTION AND CARBON-DIOXIDE EMISSION IN TALLGRASS PRAIRIE - EFFECTS OF BIOMASS BURNING AND CONVERSION TO AGRICULTURE,GLOBAL BIOGEOCHEMICAL CYCLES,7,4,735,748,1993,,20,Y,Y,,N,1,9/26/2008,Topic=(soil respiration); B-L2004,,WOS:A1993MM23400002,0886-6236,,378,364,
3,Rs,886,"PETERJOHN, WT; MELILLO, JM; STEUDLER, PA; NEWKIRK, KM; BOWLES, FP; ABER, JD",RESPONSES OF TRACE GAS FLUXES AND N AVAILABILITY TO EXPERIMENTALLY ELEVATED SOIL TEMPERATURES,ECOLOGICAL APPLICATIONS,4,3,617,625,1994,,148,Y,Y,,N,1,9/26/2008,Topic=(q10 and soil and co2 not soil respiration),,WOS:A1994NZ30800018,1051-0761,,405,389,
4,"Rs,Ra,Rh",889,"PRIESS, J; FOLSTER, H",CARBON-CYCLE DYNAMICS AND SOIL RESPIRATION OF FORESTS UNDER NATURAL DEGRADATION IN THE GRAN-SABANA,INTERCIENCIA,19,6,317,322,1994,,4,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:A1994PX41500006,0378-1844,Nellie,408,392,
5,Rs,983,"PAJARI, B",SOIL RESPIRATION IN A POOR UPLAND SITE OF SCOTS PINE STAND SUBJECTED TO ELEVATED-TEMPERATURES AND ATMOSPHERIC CARBON CONCENTRATION,PLANT AND SOIL,168,,563,570,1995,,39,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:A1995QP99700063,0032-079X,,452,434,
6,Rs,986,"PINOL, J; ALCANIZ, JM; RODA, F",CARBON-DIOXIDE EFFLUX AND PCO(2) IN SOILS OF 3 QUERCUS-ILEX MONTANE FORESTS,BIOGEOCHEMISTRY,30,3,191,215,1995,,25,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:A1995TJ85300003,0168-2563,,453,435,
7,"Rs,Ra,Rh",1009,"TRUMBORE, SE; DAVIDSON, EA; DECAMARGO, PB; NEPSTAD, DC; MARTINELLI, LA",Belowground cycling of carbon in forests and pastures of Eastern Amazonia,GLOBAL BIOGEOCHEMICAL CYCLES,9,4,515,528,1995,,172,Y,Y,,N,1,9/26/2008,B-L2004,WOS:A1995TG01100008,0886-6236,,,464,446,
8,Rs,1028,"Chapman, SJ; Thurlow, M",The influence of climate on CO2 and CH4 emissions from organic soils,AGRICULTURAL AND FOREST METEOROLOGY,79,4,205,217,1996,,27,Y,Y,,N,1,9/26/2008,Topic=(q10 and soil and co2 not soil respiration),,WOS:A1996UU54300002,0168-1923,,473,455,
9,"Rs,Ra,Rh",1078,"Lamade, E; Djegui, N; Leterme, P",Estimation of carbon allocation to the roots from soil respiration measurements of oil palm,PLANT AND SOIL,181,2,329,339,1996,,13,Y,Y,,N,1,9/26/2008,Topic=(soil respiration); B-L2004,,WOS:A1996VK67500017,0032-079X,,500,482,
10,Rs,1083,"Luo, YQ; Jackson, RB; Field, CB; Mooney, HA",Elevated CO2 increases belowground respiration in California grasslands,OECOLOGIA,108,1,130,137,1996,,57,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:A1996VL38300017,0029-8549,Nellie,503,485,
11,Rs,1099,"Paludan, C; BlicherMathiesen, G",Losses of inorganic carbon and nitrous oxide from a temperate freshwater wetland in relation to nitrate loading,BIOGEOCHEMISTRY,35,2,305,326,1996,,18,Y,Y,,N,2,9/26/2008,Topic=(soil respiration),,WOS:A1996VW59400001,0168-2563,,514,495,
12,Rs,1116,"Silvola, J; Alm, J; Ahlholm, U; Nykanen, H; Martikainen, PJ",CO2 fluxes from peat in boreal mires under varying temperature and moisture conditions,JOURNAL OF ECOLOGY,84,2,219,228,1996,,127,Y,Y,,N,1,9/26/2008,Topic=(q10 and soil and co2 not soil respiration),,WOS:A1996UH36300008,0022-0477,,522,503,
13,Rs,1118,"Simmons, JA; Fernandez, IJ; Briggs, RD; Delaney, MT","Forest floor carbon pools and fluxes along a regional climate gradient in Maine, USA",FOREST ECOLOGY AND MANAGEMENT,84,1月3日,81,95,1996,,31,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:A1996VH04800008,0378-1127,,524,505,
14,"Rs,Ra,Rh",1123,"Thierron, V; Laudelout, H",Contribution of root respiration to total CO2 efflux from the soil of a deciduous forest,CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,26,7,1142,1148,1996,,78,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:A1996UY55000004,0045-5067,,528,509,
15,Rs,1154,"Buchmann, N; Guehl, JM; Barigah, TS; Ehleringer, JR","Interseasonal comparison of CO2 concentrations, isotopic composition, and carbon dynamics in an Amazonian rainforest (French Guiana)",OECOLOGIA,110,1,120,131,1997,,89,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:A1997WP45200015,0029-8549,,546,526,
16,Rs,1184,"Hudgens, DE; Yavitt, JB","Land-use effects on soil methane and carbon dioxide fluxes in forests near Ithaca, New York",ECOSCIENCE,4,2,214,222,1997,,14,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:A1997XD59900012,1195-6860,Harrison,563,543,
17,"Rs,Ra,Rh",1185,"Hungate, BA; Holland, EA; Jackson, RB; Chapin, FS; Mooney, HA; Field, CB",The fate of carbon in grasslands under carbon dioxide enrichment,NATURE,388,6642,576,579,1997,,210,Y,Y,,N,1,9/26/2008,B-L2004,WOS:A1997XP72200047,0028-0836,,,564,544,
18,Rs,1207,"Mallik, AU; Hu, D",Soil respiration following site preparation treatments in boreal mixedwood forest,FOREST ECOLOGY AND MANAGEMENT,97,3,265,275,1997,,31,Y,Y,,N,2,9/26/2008,Topic=(soil respiration),,WOS:A1997YH57000007,0378-1127,,578,557,
19,"Rs,Ra,Rh",1232,"Ryan, MG; Lavigne, MB; Gower, ST",Annual carbon cost of autotrophic respiration in boreal forest ecosystems in relation to species and climate,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,102,D24,28871,28883,1997,,148,Y,Y,,N,2,9/26/2008,B-L2004,WOS:000071384900011,0747-7309,0747-7309,,588,566,
20,Rs,1249,"Vose, JM; Elliott, KJ; Johnson, DW; Tingey, DT; Johnson, MG",Soil respiration response to three years of elevated CO2 and N fertilization in ponderosa pine (Pinus ponderosa Dong Ex Laws),PLANT AND SOIL,190,1,19,28,1997,,28,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:A1997XJ61000003,0032-079X,,598,576,
21,Rs,1256,"Yavitt, JB",Methane and carbon dioxide dynamics in Typha latifolia (L.) wetlands in central New York State,WETLANDS,17,3,394,406,1997,,11,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:A1997XX56200007,0277-5212,Valya,604,582,
22,Rs,1262,"Arneth, A; Kelliher, FM; Gower, ST; Scott, NA; Byers, JN; McSeveny, TM",Environmental variables regulating soil carbon dioxide efflux following clear-cutting of a Pinus radiata D. Don plantation,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,103,D5,5695,5705,1998,,21,Y,Y,,N,1,9/26/2008,Topic=((soil surface co2 efflux or soil surface co2 flux or soil surface carbon flux or soil surface carbon efflux) not soil respiration),,WOS:000072621300005,0747-7309,,605,583,
23,"Rs,Ra,Rh",1263,"Arneth, A; Kelliher, FM; McSeveny, TM; Byers, JN","Net ecosystem productivity, net primary productivity and ecosystem carbon sequestration in a Pinus radiata plantation subject to soil water deficit",TREE PHYSIOLOGY,18,12,785,793,1998,,49,Y,Y,,N,2,9/26/2008,B-L2004,WOS:000076945600001,0829-318X,,,606,584,
24,Rs,1269,"Blanke, MM",Seasonal variation in soil respiration of a fruit orchard,JOURNAL OF APPLIED BOTANY-ANGEWANDTE BOTANIK,72,5月6日,153,156,1998,,1,Y,Y,,Y,1,9/26/2008,Topic=(soil respiration),,WOS:000078088900001,0066-1759,Nellie,612,590,
25,Rs,1271,"Boone, RD; Nadelhoffer, KJ; Canary, JD; Kaye, JP",Roots exert a strong influence on the temperature sensitivity of soil respiration,NATURE,396,6711,570,572,1998,,230,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000077466800056,0028-0836,,613,591,
26,Rs,1273,"Bremer, DJ; Ham, JM; Owensby, CE; Knapp, AK",Responses of soil respiration to clipping and grazing in a tallgrass prairie,JOURNAL OF ENVIRONMENTAL QUALITY,27,6,1539,1548,1998,,58,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000077125800040,0047-2425,Nellie,615,593,
27,Rs,1292,"Davidson, EA; Belk, E; Boone, RD",Soil water content and temperature as independent or confounded factors controlling soil respiration in a temperate mixed hardwood forest,GLOBAL CHANGE BIOLOGY,4,2,217,227,1998,,320,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000072141800010,1354-1013,,624,602,
28,Rs,1297,"Edwards, Nelson T.; Norby, Richard J.",Below-ground respiratory responses of sugar maple and red maple saplings to atmospheric CO2 enrichment and elevated air temperature,Plant and Soil,206,1,85,97,1998,,0,Y,Y,,N,2,9/26/2008,Topic=(soil respiration),,BIOSIS:PREV199900263120,0032-079X,,626,604,
29,Rs,1324,"Janssens, IA; Barigah, ST; Ceulemans, R",Soil CO2 efflux rates in different tropical vegetation types in French Guiana,ANNALES DES SCIENCES FORESTIERES,55,6,671,680,1998,,7,Y,Y,,N,1,9/26/2008,Topic=((soil co2 efflux or soil co2 flux or soil carbon flux or soil carbon efflux) not soil respiration),,WOS:000076630500004,0003-4312,Harrison,638,615,
30,Rs,1338,"Knapp, AK; Conard, SL; Blair, JM",Determinants of soil CO2 flux from a sub-humid grassland: Effect of fire and fire history,ECOLOGICAL APPLICATIONS,8,3,760,770,1998,,49,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000075219300018,1051-0761,,646,623,
31,"Rs,Ra,Rh",1343,"Larionova, AA; Yermolayev, AM; Blagodatsky, SA; Rozanova, LN; Yevdokimov, IV; Orlinsky, DB",Soil respiration and carbon balance of gray forest soils as affected by land use,BIOLOGY AND FERTILITY OF SOILS,27,3,251,257,1998,,19,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000075594000007,0178-2762,,650,627,
32,Rs,1364,"Morris, JT; Jensen, A","The carbon balance of grazed and non-grazed Spartina anglica saltmarshes at Skallingen, Denmark",JOURNAL OF ECOLOGY,86,2,229,242,1998,,13,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000073764500004,0022-0477,,663,640,
33,"Rs,Ra,Rh",1382,"Russell, CA; Voroney, RP",Carbon dioxide efflux from the floor of a boreal aspen forest. I. Relationship to environmental variables and estimates of C respired,CANADIAN JOURNAL OF SOIL SCIENCE,78,2,301,310,1998,,51,Y,Y,,N,1,9/26/2008,Topic=(soil respiration); B-L2004,,WOS:000074487300007,0008-4271,,672,649,
34,Rs,1405,"Wagai, R; Brye, KR; Gower, ST; Norman, JM; Bundy, LG",Land use and environmental factors influencing soil surface CO2 flux and microbial biomass in natural and managed ecosystems in southern Wisconsin,SOIL BIOLOGY & BIOCHEMISTRY,30,12,1501,1509,1998,,38,Y,Y,,N,1,9/26/2008,Topic=((soil surface co2 efflux or soil surface co2 flux or soil surface carbon flux or soil surface carbon efflux) not soil respiration),,WOS:000074907200003,0038-0717,,682,659,
35,"Rs,Ra",1421,"Borken, W; Xu, YJ; Brumme, R; Lamersdorf, N",A climate change scenario for carbon dioxide and dissolved organic carbon fluxes from a temperate forest soil: Drought and rewetting effects,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,63,6,1848,1855,1999,,46,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000085517800050,0361-5995,,688,665,
36,Rs,1432,"Dugas, WA; Heuer, ML; Mayeux, HS","Carbon dioxide fluxes over bermudagrass, native prairie, and sorghum",AGRICULTURAL AND FOREST METEOROLOGY,93,2,121,139,1999,,83,Y,Y,,N,1,9/26/2008,Topic=((soil co2 efflux or soil co2 flux or soil carbon flux or soil carbon efflux) not soil respiration),,WOS:000078787400004,0168-1923,,693,670,
37,"Rs,Ra,Rh",1437,"Epron, D; Farque, L; Lucot, E; Badot, PM",Soil CO2 efflux in a beech forest: dependence on soil temperature and soil water content,ANNALS OF FOREST SCIENCE,56,3,221,226,1999,Note 1800 Janssens GCB 2001,63,Y,Y,,N,1,9/26/2008,Topic=(soil respiration); B-L2004,,WOS:000080505400004,1286-4560,,695,672,
38,Rs,1438,"Epron, D; Farque, L; Lucot, E; Badot, PM",Soil CO2 efflux in a beech forest: the contribution of root respiration,ANNALS OF FOREST SCIENCE,56,4,289,295,1999,Note 1800 Janssens GCB 2001,65,Y,Y,,N,1,9/26/2008,Topic=((soil co2 efflux or soil co2 flux or soil carbon flux or soil carbon efflux) not soil respiration); B-L2004,,WOS:000081010700003,1286-4560,,696,673,
39,"Rs,Ra,Rh",1441,"Fang, C; Moncrieff, JB",A model for soil CO2 production and transport 1: Model development,AGRICULTURAL AND FOREST METEOROLOGY,95,4,225,236,1999,,50,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000082008000002,0168-1923,,697,674,
40,Rs,1470,"Law, BE; Ryan, MG; Anthoni, PM",Seasonal and annual respiration of a ponderosa pine ecosystem,GLOBAL CHANGE BIOLOGY,5,2,169,182,1999,,191,Y,Y,,N,1,9/26/2008,Topic=((soil surface co2 efflux or soil surface co2 flux or soil surface carbon flux or soil surface carbon efflux) not soil respiration),,WOS:000078792600004,1354-1013,,706,683,
41,"Rs,Ra,Rh",1500,"Ohashi, M; Gyokusen, K; Saito, A",Measurement of carbon dioxide evolution from a Japanese cedar (Cryptomeria japonica D. Don) forest floor using an open-flow chamber method,FOREST ECOLOGY AND MANAGEMENT,123,2月3日,105,114,1999,,27,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000082601400002,0378-1127,,715,692,
42,Rs,1506,"Rayment, MB; Jarvis, PG",Seasonal variation in carbon accumulation by a high latitude forest ecosystem,PHYTON-ANNALES REI BOTANICAE,39,4,165,173,1999,,2,Y,Y,,N,2,9/26/2008,Topic=((soil co2 efflux or soil co2 flux or soil carbon flux or soil carbon efflux) not soil respiration),,WOS:000082820200020,0079-2047,Valya,717,694,
43,Rs,1518,"Soegaard, H; Nordstroem, C",Carbon dioxide exchange in a high-arctic fen estimated by eddy covariance measurements and modelling,GLOBAL CHANGE BIOLOGY,5,5,547,562,1999,,37,Y,Y,,N,2,9/26/2008,Topic=(net ecosystem exchange or net ecosystem production not soil respiration),,WOS:000080634800005,1354-1013,,723,700,
44,Rs,1539,"Wang, Y; Amundson, R; Trumbore, S",The impact of land use change on C turnover in soils,GLOBAL BIOGEOCHEMICAL CYCLES,13,1,47,57,1999,,29,Y,Y,,N,2,9/26/2008,Topic=((soil co2 efflux or soil co2 flux or soil carbon flux or soil carbon efflux) not soil respiration),,WOS:000079003000005,0886-6236,,726,703,
45,Rs,1563,"Bowden, RD; Rullo, G; Stevens, GR; Steudler, PA","Soil fluxes of carbon dioxide, nitrous oxide, and methane at a productive temperate deciduous forest",JOURNAL OF ENVIRONMENTAL QUALITY,29,1,268,276,2000,,37,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000084885800035,0047-2425,Nellie,731,708,
46,Rs,1565,"Buchmann, N",Biotic and abiotic factors controlling soil respiration rates in Picea abies stands,SOIL BIOLOGY & BIOCHEMISTRY,32,11月12日,1625,1635,2000,Note 1800 Janssens GCB 2001,117,Y,Y,,N,1,9/26/2008,Topic=(soil respiration); B-L2004,,WOS:000089490700015,0038-0717,,733,710,
47,"Rs,Ra,Rh",1582,"Davidson, EA; Verchot, LV; Cattanio, JH; Ackerman, IL; Carvalho, JEM",Effects of soil water content on soil respiration in forests and cattle pastures of eastern Amazonia,BIOGEOCHEMISTRY,48,1,53,69,2000,,135,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000083804900004,0168-2563,,739,716,
48,Rs,1585,"Dilly, O; Bach, HJ; Buscot, F; Eschenbach, C; Kutsch, WL; Middelhoff, U; Pritsch, K; Munch, JC",Characteristics and energetic strategies of the rhizosphere in ecosystems of the Bornhoved Lake district,APPLIED SOIL ECOLOGY,15,2,201,210,2000,,9,Y,Y,,N,2,9/26/2008,Topic=(soil respiration),,WOS:000089205900013,0929-1393,,740,717,
49,Rs,1600,"Gaudinski, JB; Trumbore, SE; Davidson, EA; Zheng, SH","Soil carbon cycling in a temperate forest: radiocarbon-based estimates of residence times, sequestration rates and partitioning of fluxes",BIOGEOCHEMISTRY,51,1,33,69,2000,,132,Y,Y,,N,1,9/26/2008,Topic=(soil respiration); B-L2004,,WOS:000088074800002,0168-2563,,745,722,
50,"Rs,Ra,Rh",1602,"Granier, A; Ceschia, E; Damesin, C; Dufrene, E; Epron, D; Gross, P; Lebaube, S; Le Dantec, V; Le Goff, N; Lemoine, D; Lucot, E; Ottorini, JM; Pontailler, JY; Saugier, B",The carbon balance of a young Beech forest,FUNCTIONAL ECOLOGY,14,3,312,325,2000,Note 1800 Janssens GCB 2001,100,Y,Y,,N,1,9/26/2008,Topic=(net ecosystem exchange or net ecosystem production not soil respiration),,WOS:000088938600005,0269-8463,,747,724,
51,"Rs,Ra,Rh",1629,"Law, BE; Waring, RH; Anthoni, PM; Aber, JD","Measurements of gross and net ecosystem productivity and water vapour exchange of a Pinus ponderosa ecosystem, and an evaluation of two generalized models",GLOBAL CHANGE BIOLOGY,6,2,155,168,2000,,77,Y,Y,,N,2,9/26/2008,Topic=(net ecosystem exchange or net ecosystem production not soil respiration),,WOS:000086196300003,1354-1013,,754,731,
52,"Rs,Ra,Rh",1635,"Longdoz, B; Yernaux, M; Aubinet, M","Soil CO2 efflux measurements in a mixed forest: impact of chamber disturbances, spatial variability and seasonal evolution",GLOBAL CHANGE BIOLOGY,6,8,907,917,2000,Note 1800 Janssens GCB 2001,50,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000166524000006,1354-1013,,757,734,
53,Rs,1639,"Maier, CA; Kress, LW",Soil CO2 evolution and root respiration in 11 year-old loblolly pine (Pinus taeda) plantations as affected by moisture and nutrient availability,CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,30,3,347,359,2000,,47,Y,Y,,N,1,9/26/2008,Topic=(soil co2 evolution not soil respiration),,WOS:000086044500002,0045-5067,,758,735,
54,"Rs,Ra,Rh",1647,"McDowell, NG; Marshall, JD; Hooker, TD; Musselman, R",Estimating CO2 flux from snowpacks at three sites in the Rocky Mountains,TREE PHYSIOLOGY,20,11,745,753,2000,,18,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000087670700005,0829-318X,,760,737,
55,Rs,1654,"Mielnick, PC; Dugas, WA",Soil CO2 flux in a tallgrass prairie,SOIL BIOLOGY & BIOCHEMISTRY,32,2,221,228,2000,,81,Y,Y,,N,1,9/26/2008,Topic=((soil surface co2 efflux or soil surface co2 flux or soil surface carbon flux or soil surface carbon efflux) not soil respiration),,WOS:000085418700010,0038-0717,,762,739,
56,Rs,1656,"Moren, AS; Lindroth, A",CO2 exchange at the floor of a boreal forest,AGRICULTURAL AND FOREST METEOROLOGY,101,1,1,14,2000,Note 1800 Janssens GCB 2001,53,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000085648700001,0168-1923,,763,740,
57,Rs,1665,"Ohashi, M; Gyokusen, K; Saito, A",Contribution of root respiration to total soil respiration in a Japanese cedar (Cryptomeria japonica D. Don) artificial forest,ECOLOGICAL RESEARCH,15,3,323,333,2000,,30,Y,Y,,N,1,9/26/2008,Topic=(soil respiration); B-L2004,,WOS:000089718800008,0912-3814,,766,743,
58,"Rs,Ra,Rh",1679,"Rayment, MB; Jarvis, PG",Temporal and spatial variation of soil CO2 efflux in a Canadian boreal forest,SOIL BIOLOGY & BIOCHEMISTRY,32,1,35,45,2000,,81,Y,Y,,N,1,9/26/2008,Topic=((soil co2 efflux or soil co2 flux or soil carbon flux or soil carbon efflux) not soil respiration),,WOS:000084806700004,0038-0717,,773,749,
59,Rs,1716,"Wang, Y; Amundson, R; Niu, XF",Seasonal and altitudinal variation in decomposition of soil organic matter inferred from radiocarbon measurements of soil CO2 flux,GLOBAL BIOGEOCHEMICAL CYCLES,14,1,199,211,2000,,26,Y,,,N,3,9/26/2008,Topic=((soil co2 efflux or soil co2 flux or soil carbon flux or soil carbon efflux) not soil respiration),,WOS:000085808900017,0886-6236,,786,763,
60,Rs,1755,"Burkins, MB; Virginia, RA; Wall, DH","Organic carbon cycling in Taylor Valley, Antarctica: quantifying soil reservoirs and soil respiration",GLOBAL CHANGE BIOLOGY,7,1,113,125,2001,,37,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000167235600008,1354-1013,,796,773,
61,Rs,1762,"Coble, DW; Milner, KS; Marshall, JD",Above- and below-ground production of trees and other vegetation on contrasting aspects in western Montana: a case study,FOREST ECOLOGY AND MANAGEMENT,142,1月3日,231,241,2001,,4,Y,Y,,N,2,9/26/2008,Topic=(soil respiration),,WOS:000167165300018,0378-1127,,798,775,
62,Rs,1766,"Craine, JM; Wedin, DA; Reich, PB",Grassland species effects on soil CO2 flux track the effects of elevated CO2 and nitrogen,NEW PHYTOLOGIST,150,2,425,434,2001,,7,Y,Y,,N,2,9/26/2008,Topic=((soil co2 efflux or soil co2 flux or soil carbon flux or soil carbon efflux) not soil respiration),,WOS:000168361500020,0028-646X,,799,776,
63,Rs,1773,"Egli, P; Maurer, S; Spinnler, D; Landolt, W; Gunthardt-Georg, MS; Korner, C","Downward adjustment of carbon fluxes at the biochemical, leaf, and ecosystem scale in beech-spruce model communities exposed to long-term atmospheric CO2 enrichment",OIKOS,92,2,279,290,2001,,5,Y,Y,,N,2,9/26/2008,Topic=((soil co2 efflux or soil co2 flux or soil carbon flux or soil carbon efflux) not soil respiration),,WOS:000167560700010,0030-1299,,802,779,
64,Rs,1777,"Epron, D; Le Dantec, V; Dufrene, E; Granier, A",Seasonal dynamics of soil carbon dioxide efflux and simulated rhizosphere respiration in a beech forest,TREE PHYSIOLOGY,21,2月3日,145,152,2001,,41,Y,Y,,N,1,9/26/2008,Topic=(soil respiration); B-L2004,,WOS:000166829300010,0829-318X,,804,781,
65,"Rs,Ra,Rh",1800,"Janssens, IA; Lankreijer, H; Matteucci, G; Kowalski, AS; Buchmann, N; Epron, D; Pilegaard, K; Kutsch, W; Longdoz, B; Grunwald, T; Montagnani, L; Dore, S; Rebmann, C; Moors, EJ; Grelle, A; Rannik, U; Morgenstern, K; Oltchev, S; Clement, R; Gudmundsson, J; Minerbi, S; Berbigier, P; Ibrom, A; Moncrieff, J; Aubinet, M; Bernhofer, C; Jensen, NO; Vesala, T; Granier, A; Schulze, ED; Lindroth, A; Dolman, AJ; Jarvis, PG; Ceulemans, R; Valentini, R",Productivity overshadows temperature in determining soil and ecosystem respiration across European forests,GLOBAL CHANGE BIOLOGY,7,3,269,278,2001,To be checked against studies listed within,245,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000168254900005,1354-1013,,813,790,
66,Rs,1818,"King, JS; Pregitzer, KS; Zak, DR; Sober, J; Isebrands, JG; Dickson, RE; Hendrey, GR; Karnosky, DF",Fine-root biomass and fluxes of soil carbon in young stands of paper birch and trembling aspen as affected by elevated atmospheric Co-2 and tropospheric O-3,OECOLOGIA,128,2,237,250,2001,,45,Y,Y,,N,2,9/26/2008,Topic=(soil respiration),,WOS:000170392500011,0029-8549,,818,795,
67,Rs,1823,"Kutsch, WL; Staack, A; Wojtzel, J; Middelhoff, U; Kappen, L",Field measurements of root respiration and total soil respiration in an alder forest,NEW PHYTOLOGIST,150,1,157,168,2001,Note 1800 Janssens GCB 2001,17,Y,Y,,N,1,9/26/2008,Topic=(soil respiration); B-L2004,,WOS:000167774100016,0028-646X,,820,797,
68,"Rs,Ra,Rh",1831,"Larionova, AA; Rozanova, LN; Demkina, TS; Evdokimov, IV; Blagodatskii, SA",Annual emission of CO2 from gray forest soils,POCHVOVEDENIE / EURASIAN SOIL SCIENCE,34,1,61,68,2001,,12,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000166558500008,1064-2293,Nellie,825,802,
69,"Rs,Ra,Rh",1850,"McDowell, NG; Balster, NJ; Marshall, JD",Belowground carbon allocation of Rocky Mountain Douglas-fir,CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,31,8,1425,1436,2001,,21,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000170813900013,0045-5067,,835,812,
70,"Rs,Ra,Rh",1871,"Pilegaard, K; Hummelshoj, P; Jensen, NO; Chen, Z",Two years of continuous CO2 eddy-flux measurements over a Danish beech forest,AGRICULTURAL AND FOREST METEOROLOGY,107,1,29,41,2001,Note 1800 Janssens GCB 2001,74,Y,Y,,N,2,9/26/2008,Topic=(net ecosystem exchange or net ecosystem production not soil respiration),,WOS:000167192100002,0168-1923,,842,819,
71,Rs,1876,"Priess, JA; Folster, H",Microbial properties and soil respiration in submontane forests of Venezuelan Guyana: characteristics and response to fertilizer treatments,SOIL BIOLOGY & BIOCHEMISTRY,33,4月5日,503,509,2001,,12,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000167756300010,0038-0717,,843,820,
72,Rs,1891,"Savage, KE; Davidson, EA",Interannual variation of soil respiration in two New England forests,GLOBAL BIOGEOCHEMICAL CYCLES,15,2,337,350,2001,,67,Y,Y,,N,1,9/26/2008,Topic=(net ecosystem exchange or net ecosystem production not soil respiration),,WOS:000169233200006,0886-6236,,849,826,
73,Rs,1925,"Widen, B; Majdi, H",Soil CO2 efflux and root respiration at three sites in a mixed pine and spruce forest: seasonal and diurnal variation,CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,31,5,786,796,2001,,45,Y,Y,,N,1,9/26/2008,Topic=((soil co2 efflux or soil co2 flux or soil carbon flux or soil carbon efflux) not soil respiration); B-L2004,,WOS:000168890300006,0045-5067,,862,839,
74,"Rs,Ra,Rh",1927,"Wilson, KB; Baldocchi, DD",Comparing independent estimates of carbon dioxide exchange over 5 years at a deciduous forest in the southeastern United States,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,106,D24,34167,34178,2001,,32,Y,Y,,N,2,9/26/2008,Topic=(net ecosystem exchange or net ecosystem production not soil respiration),,WOS:000173879800059,0747-7309,,863,840,
75,Rs,1931,"Xu, M; Qi, Y",Soil-surface CO2 efflux and its spatial and temporal variations in a young ponderosa pine plantation in northern California,GLOBAL CHANGE BIOLOGY,7,6,667,677,2001,,86,Y,Y,,N,1,9/26/2008,Topic=(q10 and soil and co2 not soil respiration),,WOS:000171795500005,1354-1013,,866,843,
